world,-586,62,-145
world,-596,70,-156
world,-567,64,-142
world,-584,62,-144
world,-596,107,-157
world,-441,62,-237
world,-592,63,-163
world,-596,129,-157
world,-567,62,-135
world,-565,62,-134
world,-596,64,-157
survival,-39,71,235
world,-455,63,-244
world,-596,67,-157
world,-590,62,-170
world,-597,62,-151
world,-590,66,-169
world,-596,135,-157
world,-598,62,-152
world,-596,62,-151
world,-426,62,-279
world,-500,62,-231
world,-587,66,-145
world,-583,62,-144
world,-596,73,-156
world,-591,63,-163
world,-592,65,-163
world,-596,110,-157
world,-582,62,-144
world,-586,66,-145
world,-596,76,-156
world,-596,113,-157
world,-567,62,-136
world,-567,66,-135
world,-586,62,-146
world,-596,70,-157
world,-386,61,-298
world,-591,62,-146
world,-574,64,-144
world,-572,64,-143
world,-455,63,-242
world,-596,98,-157
world,-568,64,-141
world,-317,62,-320
world,-571,64,-143
world,-596,64,-156
world,-586,62,-144
world,-596,101,-157
world,-567,64,-141
world,-596,62,-149
world,-590,68,-205
world,-567,62,-134
world,-358,62,-316
world,-597,62,-150
world,-590,66,-168
world,-568,62,-135
world,-592,63,-162
world,-589,64,-198
world,-592,65,-162
world,-596,62,-150
world,-455,63,-243
world,-590,63,-184
world,-595,64,-156
world,-398,63,-293
world,-587,62,-145
world,-570,64,-143
world,-596,67,-156
world,-559,63,-236
world,-596,104,-157
world,-446,63,-237
world,-567,62,-138
world,-556,61,-231
world,-589,63,-187
world,-594,64,-159
world,-581,66,-144
world,-596,122,-157
world,-596,62,-153
world,-580,66,-144
world,-596,82,-157
world,-437,62,-236
world,-597,62,-154
world,-590,66,-172
world,-566,63,-130
world,-596,125,-157
world,-436,62,-259
world,-591,65,-165
world,-577,62,-144
world,-597,66,-153
world,-566,62,-138
world,-355,62,-319
world,-589,63,-188
world,-579,66,-144
world,-596,85,-157
world,-596,62,-154
world,-591,64,-181
world,-565,63,-130
world,-596,128,-157
world,-567,62,-139
world,-566,62,-136
world,-590,63,-186
world,-596,73,-157
world,-590,62,-171
world,-596,141,-157
world,-590,66,-170
world,-521,62,-226
world,-598,62,-153
world,-596,147,-157
world,-596,62,-152
world,-567,62,-137
world,-585,66,-145
world,-591,63,-164
world,-583,66,-144
world,-596,79,-156
world,-343,62,-335
world,-596,116,-157
world,-589,67,-200
world,-582,66,-144
world,-596,82,-156
world,-590,62,-172
world,-596,119,-157
world,-568,63,-130
world,-597,62,-153
world,-567,66,-136
world,-596,76,-157
world,-579,62,-144
world,-591,63,-165
world,-596,79,-157
world,-457,64,-240
world,-566,62,-137
world,-590,65,-167
world,-312,62,-324
world,-594,63,-147
world,-573,62,-144
world,-596,62,-156
world,-571,62,-143
world,-592,63,-146
survival,-37,71,235
world,-452,63,-246
world,-590,63,-168
world,-565,63,-132
world,-590,63,-145
world,-596,66,-155
world,-596,97,-157
world,-567,62,-141
world,-590,65,-145
world,-565,65,-132
world,-596,100,-157
world,-392,63,-294
world,-574,62,-145
world,-595,63,-148
world,-568,63,-134
world,-597,62,-157
world,-574,66,-144
world,-594,65,-147
world,-570,62,-143
world,-591,63,-146
world,-592,65,-146
world,-564,63,-132
world,-589,63,-145
world,-572,66,-143
world,-596,63,-149
world,-595,65,-148
world,-596,62,-157
world,-569,62,-143
world,-590,63,-146
world,-591,71,-213
world,-596,66,-156
world,-567,62,-142
world,-563,63,-132
world,-590,65,-168
world,-591,62,-177
world,-596,88,-157
world,-597,62,-155
world,-590,66,-173
world,-566,63,-131
world,-425,62,-284
world,-596,134,-157
world,-566,62,-139
world,-394,63,-294
world,-590,63,-166
world,-576,62,-144
world,-590,62,-174
world,-578,66,-144
world,-590,65,-166
world,-575,62,-144
world,-577,66,-144
world,-453,63,-246
world,-589,63,-189
world,-596,91,-157
world,-567,63,-132
world,-565,63,-131
world,-563,63,-130
world,-596,140,-157
world,-340,62,-336
world,-591,63,-145
world,-596,94,-157
world,-568,62,-141
world,-562,63,-130
world,-566,62,-140
world,-596,146,-157
world,-590,63,-167
world,-393,63,-294
world,-434,62,-259
world,-590,62,-175
world,-574,62,-144
world,-538,61,-224
world,-572,62,-143
world,-568,63,-133
world,-547,62,-224
world,-596,112,-157
world,-333,62,-328
world,-596,139,-157
world,-595,62,-158
world,-567,65,-135
world,-455,64,-244
world,-553,62,-227
world,-596,69,-157
world,-586,65,-145
world,-583,63,-144
world,-596,75,-156
world,-596,72,-157
world,-582,63,-144
world,-583,65,-144
world,-596,78,-156
world,-590,65,-170
world,-596,63,-151
world,-590,70,-207
world,-390,63,-295
world,-567,63,-136
world,-594,62,-158
world,-596,65,-151
world,-432,62,-263
world,-567,65,-136
world,-596,115,-157
world,-590,63,-171
world,-596,145,-157
world,-331,62,-325
world,-596,81,-156
survival,-39,71,233
world,-596,118,-157
world,-561,65,-133
world,-336,62,-336
world,-596,75,-157
world,-581,63,-144
world,-334,62,-332
world,-582,65,-144
world,-597,63,-150
world,-561,63,-131
world,-596,103,-157
world,-592,64,-162
